Detailed Statistics Cancellation  
Origin Airport: Denver, CO: Denver International (DEN)
Airline: American Airlines Inc. (AA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"AA","11/09/2003","0702","","ORD"
"AA","11/11/2003","1182","","DFW"
"AA","11/12/2003","1028","","ORD"
"AA","11/12/2003","1497","","LAX"
"AA","11/12/2003","1524","","ORD"
"AA","11/12/2003","2014","","ORD"
"AA","11/13/2003","2980","","DFW"
"AA","11/16/2003","0853","","DFW"
"AA","11/17/2003","0418","","ORD"
"AA","11/17/2003","0853","","DFW"
"AA","11/17/2003","1182","","DFW"
"AA","11/18/2003","2828","","DFW"
"AA","11/22/2003","0418","","ORD"
"AA","11/23/2003","2014","","ORD"
"AA","12/05/2003","1006","","DFW"
"AA","12/05/2003","1497","","LAX"
"AA","12/07/2003","1140","","DFW"
"AA","12/08/2003","1508","","DFW"
"AA","12/09/2003","0418","","ORD"
"AA","12/09/2003","1182","","DFW"
"AA","12/09/2003","1524","","ORD"
"AA","12/10/2003","1028","","ORD"
"AA","12/15/2003","0520","","ORD"
"AA","12/28/2003","2253","","ORD"
"AA","12/29/2003","2253","","ORD"
"AA","01/01/2004","2290","","MIA"
"AA","01/02/2004","0520","","ORD"
"AA","01/02/2004","0872","","ORD"
"AA","01/04/2004","0520","","ORD"
"AA","01/04/2004","0702","","ORD"
"AA","01/04/2004","2014","","ORD"
"AA","01/04/2004","2016","","ORD"
"AA","01/12/2004","2844","","DFW"
"AA","01/17/2004","0702","","ORD"
"AA","01/23/2004","0872","","ORD"
"AA","01/23/2004","2014","","ORD"
"AA","01/24/2004","2844","","DFW"
"AA","01/25/2004","1330","","DFW"
"AA","01/26/2004","2014","","ORD"
"AA","01/27/2004","0702","","ORD"
"AA","01/27/2004","0872","","ORD"
"AA","01/27/2004","1524","","ORD"
"AA","01/27/2004","2016","","ORD"
"AA","01/29/2004","0520","","ORD"
"AA","01/29/2004","0702","","ORD"
"AA","01/29/2004","0872","","ORD"
"AA","01/30/2004","2014","","ORD"
"AA","01/31/2004","0418","","ORD"
"AA","02/02/2004","0520","","ORD"
"AA","02/02/2004","0872","","ORD"
"AA","02/05/2004","0520","","ORD"
"AA","02/05/2004","2014","","ORD"
"AA","02/06/2004","0520","","ORD"
"AA","02/09/2004","0520","","ORD"
"AA","02/10/2004","0418","","ORD"
"AA","02/11/2004","1824","","DFW"
"AA","02/14/2004","1300","","DFW"
"AA","02/14/2004","2844","","DFW"
"AA","02/14/2004","2902","","DFW"
"AA","02/23/2004","2980","","DFW"
"AA","02/27/2004","1524","","ORD"
"AA","03/01/2004","2014","","ORD"
"AA","03/03/2004","1469","","LAX"
"AA","03/04/2004","2828","","DFW"
"AA","03/04/2004","2844","","DFW"
"AA","03/05/2004","0702","","ORD"
"AA","03/05/2004","2016","","ORD"
"AA","03/07/2004","2844","","DFW"
