Detailed Statistics Cancellation  
Origin Airport: Denver, CO: Denver International (DEN)
Airline: Delta Airlines Inc. (DL)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"DL","12/09/2004","0320","N935DL","ATL"
"DL","12/10/2004","0687","N952WP","SLC"
"DL","12/23/2004","0482","N984DL","CVG"
"DL","12/23/2004","0626","N972DL","CVG"
"DL","12/23/2004","0964","N976DL","CVG"
"DL","12/24/2004","0482","N941DL","CVG"
"DL","12/24/2004","0964","N958DL","CVG"
"DL","12/24/2004","1444","N946DL","ATL"
"DL","12/26/2004","0482","N965DL","CVG"
"DL","12/30/2004","1411","N308WA","SLC"
"DL","01/05/2005","1137","N312WA","SLC"
"DL","01/12/2005","1650","N903DE","ATL"
"DL","01/12/2005","1675","N904DA","SLC"
"DL","01/15/2005","0432","N630DL","ATL"
"DL","01/15/2005","0482","N901DE","CVG"
"DL","01/17/2005","0626","N928DL","CVG"
"DL","01/21/2005","1411","N3745B","SLC"
"DL","01/22/2005","0544","N3764D","JFK"
"DL","01/22/2005","0964","N951DL","CVG"
"DL","01/23/2005","0544","N3764D","JFK"
"DL","01/23/2005","0952","N121DE","ATL"
"DL","01/24/2005","1411","N952WP","SLC"
"DL","01/28/2005","0664","N950DL","ATL"
"DL","01/29/2005","0320","N956DL","ATL"
"DL","01/29/2005","0482","N908DE","CVG"
"DL","01/29/2005","0664","N922DL","ATL"
"DL","01/29/2005","0884","N903DL","ATL"
"DL","01/29/2005","0949","N617DL","CVG"
"DL","01/29/2005","0952","N173DZ","ATL"
"DL","01/29/2005","1204","N606DL","ATL"
"DL","01/29/2005","1650","N956DL","ATL"
"DL","01/30/2005","0432","N115DA","ATL"
"DL","01/30/2005","1204","N620DL","ATL"
"DL","01/31/2005","0964","N967DL","CVG"
"DL","02/02/2005","0192","N153DL","ATL"
"DL","02/28/2005","0544","N3757D","JFK"
"DL","03/01/2005","0964","N940DL","CVG"
"DL","03/08/2005","0778","N3741S","JFK"
"DL","03/27/2005","0664","N959DL","ATL"
"DL","04/06/2005","0432","N690DL","ATL"
"DL","04/10/2005","0192","N152DL","ATL"
"DL","04/10/2005","0432","N125DL","ATL"
"DL","04/10/2005","0482","N957DL","CVG"
"DL","04/10/2005","0626","N957DL","CVG"
"DL","04/10/2005","0664","N636DL","ATL"
"DL","04/10/2005","0687","N313WA","SLC"
"DL","04/10/2005","0884","N3759","ATL"
"DL","04/10/2005","0949","N955DL","CVG"
"DL","04/10/2005","0964","N999DN","CVG"
"DL","04/10/2005","1001","N304WA","SLC"
"DL","04/10/2005","1411","N910DN","SLC"
"DL","04/10/2005","1508","N636DL","ATL"
"DL","04/10/2005","1642","N382DA","SLC"
"DL","04/10/2005","1651","N122DL","ATL"
"DL","04/10/2005","1782","N646DL","ATL"
"DL","04/11/2005","0432","N129DL","ATL"
"DL","04/11/2005","1001","N304WA","SLC"
"DL","04/11/2005","1590","N626DL","ATL"
"DL","04/11/2005","1675","N372DA","SLC"
"DL","04/13/2005","1411","N911DA","SLC"
"DL","04/26/2005","1782","N616DL","ATL"
"DL","04/30/2005","0884","N385DN","ATL"
"DL","05/14/2005","0482","N930DL","CVG"
"DL","05/14/2005","1642","N3741S","SLC"
"DL","05/22/2005","0687","N311WA","SLC"
"DL","05/23/2005","0626","N966DL","CVG"
"DL","05/31/2005","0687","N307WA","SLC"
"DL","06/01/2005","1782","N610DL","ATL"
"DL","06/09/2005","0687","N305WA","SLC"
"DL","06/09/2005","1508","N674DL","ATL"
"DL","06/23/2005","0884","N3757D","ATL"
"DL","06/26/2005","0192","N196DN","ATL"
"DL","06/29/2005","1508","N602DL","ATL"
"DL","07/07/2005","0884","N3769L","ATL"
"DL","07/10/2005","0687","N313WA","SLC"
"DL","07/11/2005","0482","N920DE","CVG"
"DL","07/14/2005","0687","N305WA","SLC"
"DL","07/22/2005","0687","N305WA","SLC"
"DL","08/24/2005","0949","N979DL","CVG"
"DL","08/30/2005","0664","N911DL","ATL"
"DL","09/03/2005","1651","N991DL","ATL"
"DL","09/04/2005","0192","N194DN","ATL"
"DL","09/04/2005","1508","N106DA","ATL"
"DL","09/14/2005","0192","N1605","ATL"
"DL","09/16/2005","0884","N916DL","ATL"
"DL","09/17/2005","0482","N943DL","CVG"
"DL","09/24/2005","0664","N3752","ATL"
"DL","09/27/2005","0949","N969DL","CVG"
"DL","09/28/2005","0192","N192DN","ATL"
"DL","09/28/2005","1785","N901DA","CVG"
"DL","09/29/2005","0884","N968DL","ATL"
"DL","10/04/2005","1411","N909DA","SLC"
"DL","10/06/2005","0192","N183DN","ATL"
"DL","10/10/2005","0626","N956DL","CVG"
"DL","10/10/2005","1651","N993DL","ATL"
"DL","10/14/2005","1785","N911DA","CVG"
"DL","10/21/2005","1785","N916DN","CVG"
"DL","11/02/2005","1508","N943DL","ATL"
"DL","11/12/2005","1651","N908DL","ATL"
"DL","11/21/2005","0626","N971DL","CVG"
"DL","12/02/2005","1734","N903DE","ATL"
"DL","12/04/2005","0884","N914DE","ATL"
"DL","12/05/2005","0347","N956DL","ATL"
"DL","12/05/2005","0780","N928DL","ATL"
"DL","12/08/2005","0449","N946DL","CVG"
"DL","12/25/2005","0624","N934DL","CVG"
"DL","01/24/2006","0780","N904DL","ATL"
"DL","02/03/2006","0323","N948DL","CVG"
"DL","02/05/2006","0664","N961DL","ATL"
"DL","02/05/2006","1078","N914DN","SLC"
"DL","02/07/2006","0895","N680DA","ATL"
"DL","03/19/2006","0493","N392DA","ATL"
"DL","03/27/2006","1534","N915DN","SLC"
"DL","03/28/2006","1775","N305WA","SLC"
"DL","03/29/2006","1775","N308WA","SLC"
"DL","04/09/2006","0850","N3764D","SLC"
"DL","04/14/2006","0323","N906DE","CVG"
"DL","04/14/2006","1775","N305WA","SLC"
"DL","04/19/2006","0664","N961DL","ATL"
"DL","04/20/2006","0884","N903DL","ATL"
"DL","04/21/2006","0493","N3767","ATL"
"DL","04/21/2006","0664","N906DE","ATL"
"DL","04/24/2006","1734","N933DL","ATL"
"DL","04/25/2006","0895","N954DL","ATL"
"DL","04/30/2006","0347","N3744D","ATL"
"DL","04/30/2006","0780","N980DL","ATL"
"DL","05/03/2006","0628","N907DL","CVG"
"DL","05/09/2006","1056","N938DL","ATL"
"DL","05/10/2006","1748","N935DL","ATL"
"DL","05/14/2006","0624","N935DL","CVG"
"DL","05/16/2006","1510","N908DA","SLC"
"DL","05/27/2006","1510","N905DA","SLC"
"DL","05/30/2006","0606","N961DL","ATL"
"DL","06/04/2006","1581","N904DA","SLC"
"DL","06/05/2006","0603","N906DA","SLC"
"DL","06/07/2006","0603","N909DA","SLC"
"DL","06/12/2006","0357","N916DN","SLC"
"DL","06/23/2006","0493","N934DL","ATL"
"DL","06/24/2006","0665","N906DA","SLC"
"DL","06/26/2006","0780","N904DE","ATL"
"DL","06/27/2006","0884","N3771K","ATL"
"DL","06/29/2006","1046","N925DL","ATL"
"DL","07/13/2006","0357","N908DA","SLC"
"DL","07/23/2006","0357","N910DN","SLC"
"DL","07/31/2006","0357","N909DA","SLC"
"DL","08/09/2006","0664","N949DL","ATL"
"DL","08/11/2006","1904","N955DL","ATL"
"DL","09/07/2006","0537","N995DL","ATL"
"DL","09/16/2006","0098","N942DL","CVG"
"DL","09/18/2006","0537","N913DL","ATL"
"DL","09/25/2006","0537","N954DL","ATL"
"DL","10/09/2006","0664","N658DL","ATL"
"DL","10/12/2006","1696","N979DL","ATL"
"DL","10/17/2006","1696","N931DL","ATL"
"DL","10/18/2006","1876","N983DL","ATL"
"DL","10/22/2006","1696","N982DL","ATL"
"DL","10/23/2006","0780","N6705Y","ATL"
"DL","10/24/2006","1696","N982DL","ATL"
"DL","10/26/2006","0098","N191DN","CVG"
"DL","10/26/2006","0780","N6702","ATL"
"DL","10/26/2006","1696","N987DL","ATL"
"DL","11/04/2006","1114","N903DL","CVG"
"DL","11/07/2006","1876","N982DL","ATL"
"DL","11/08/2006","0430","N652DL","ATL"
"DL","11/10/2006","1876","N994DL","ATL"
"DL","11/14/2006","0098","N935DL","CVG"
"DL","12/11/2006","1696","N936DL","ATL"
"DL","12/18/2006","0665","N914DN","SLC"
"DL","12/20/2006","0347","N620DL","ATL"
"DL","12/20/2006","0554","N648DL","ATL"
"DL","12/20/2006","0664","N666DN","ATL"
"DL","12/20/2006","0665","N911DA","SLC"
"DL","12/20/2006","1010","N990DL","CVG"
"DL","12/20/2006","1414","N935DL","ATL"
"DL","12/21/2006","0347","N602DL","ATL"
"DL","12/21/2006","0554","N608DA","ATL"
"DL","12/21/2006","0664","N686DA","ATL"
"DL","12/21/2006","0665","N902DA","SLC"
"DL","12/21/2006","0780","N6700","ATL"
"DL","12/21/2006","1010","N903DE","CVG"
"DL","12/21/2006","1414","N916DL","ATL"
"DL","12/21/2006","1464","N393DA","ATL"
"DL","12/21/2006","1696","N911DL","ATL"
"DL","12/22/2006","0347","N752AT","ATL"
"DL","12/22/2006","0554","N651DL","ATL"
"DL","12/22/2006","0665","N910DN","SLC"
"DL","12/22/2006","0780","N647DL","ATL"
"DL","12/22/2006","1464","N3742C","ATL"
"DL","12/22/2006","1696","N988DL","ATL"
"DL","12/27/2006","1696","N945DL","ATL"
"DL","01/04/2007","1696","N911DL","ATL"
"DL","01/17/2007","1159","N639DL","ATL"
"DL","01/31/2007","1159","N693DL","ATL"
"DL","02/01/2007","0640","N641DL","ATL"
"DL","02/12/2007","1182","N994DL","CVG"
"DL","02/24/2007","0450","N916DN","SLC"
"DL","03/06/2007","1450","N912DL","ATL"
